模型名称,模型大小 (GB),参数量 (B),PPL (WikiText-2),PPL (PTB),ZS-BoolQ (%),ZS-PIQA (%),ZS-HellaSwag (%),ZS-WinoGrande (%),ZS-ARC-e (%),ZS-ARC-c (%),ZS-OBQA (%),ZS-平均 (%),吞吐量-BS1 (tokens/s),延迟-BS1 (ms/token),吞吐量-BS4 (tokens/s),延迟-BS4 (ms/token),显存占用 (MB),剪枝标准差,剪枝方差,保留<5%的层,保留<10%的层,保留<15%的层,保留<20%的层
Llama-3-8B-Instruct,14.95752739906311,8.030261248,19.52301597595215,32.22969055175781,84.40366972477065,78.83569096844396,75.59251145190201,71.66535122336228,78.61952861952862,55.80204778156996,43.0,69.70268568136821,29.097990892586594,34.366633892059326,109.71884438907416,9.114204634291431,15324.63330078125,0.0,0.0,[],[],[],[]
LLM-Pruner_1937,12.060417294502258,6.474887168,33.165252685546875,54.5002555847168,62.44648318042814,71.59956474428726,50.53774148575981,57.537490134175215,62.83670033670033,37.116040955631405,34.2,53.753431548140306,30.278765740185495,33.02644528448582,114.69072423137492,8.71910092731317,12357.9931640625,0.1087648116978172,0.011829784263661632,[],[],[],[]
layerwise_only_2000,12.044151544570923,6.466154496,30.72317123413086,51.16838073730469,68.9908256880734,73.6670293797606,57.15992830113523,61.87845303867403,61.994949494949495,33.95904436860068,35.6,56.1786043244562,,,,,,0.2714827601882688,0.07370288907944106,[],[],[26],"[25, 26]"
HGSP_2000,11.966041803359985,6.424219648,39.87115478515625,70.00041961669922,58.31804281345566,71.9260065288357,51.185022903804025,55.485398579321235,59.00673400673401,31.74061433447099,32.2,51.408831309517375,30.947477036742423,32.3128117620945,116.59768186116908,8.576499841486415,39882.05615234375,0.36442054313914973,0.1328023322618329,"[11, 12, 25]","[9, 11, 12, 25, 26]","[9, 11, 12, 25, 26]","[9, 10, 11, 12, 25, 26]"
blockwise_only_2000,11.966034173965454,6.424215552,38.34272384643555,58.84614562988281,83.79204892966361,72.68770402611534,63.90161322445728,66.85082872928176,65.86700336700336,43.25938566552901,37.0,61.908369134578635,,,,,,0.17621011135244086,0.03105000334283961,[],[],[],[]
taylor_only_2000,11.966026544570923,6.424211456,37.32326126098633,60.71195602416992,83.91437308868501,73.17736670293797,64.2302330213105,66.85082872928176,65.78282828282829,43.1740614334471,37.2,62.047098751212935,,,,,,0.152428786061587,0.023234534820209058,[],[],[],[]
taylor_only_5000,7.478782892227173,4.015140864,426.2071533203125,535.9150390625,61.95718654434251,55.71273122959739,32.33419637522406,51.14443567482242,29.67171717171717,24.914675767918087,26.0,40.247848966231665,29.899821582904416,33.445015624165535,113.7604800808275,8.790398909089467,30686.40771484375,0.2061670957176907,0.042504871356667445,[],[],[],"[23, 27]"
HGSP_5000,7.478775262832642,4.015136768,315.2113952636719,373.31475830078125,39.02140672782875,56.25680087051143,33.03126867157937,48.85556432517759,29.84006734006734,24.317406143344712,27.400000000000002,36.960359154072734,32.685079405862865,30.594999864697456,125.01817386585931,7.998837041668594,30662.92333984375,0.3378571551011375,0.11414745725303409,"[9, 10, 11, 12, 25, 26]","[7, 8, 9, 10, 11, 12, 25, 26]","[7, 8, 9, 10, 11, 12, 25, 26]","[7, 8, 9, 10, 11, 12, 25, 26]"
layerwise_only_5000,7.478775262832642,4.015136768,295.2760314941406,330.7024230957031,49.26605504587156,56.42002176278563,31.886078470424216,49.881610102604576,30.387205387205384,23.976109215017065,25.8,38.23101142627263,32.458344579548914,30.808718465268612,123.15156857798927,8.120075217448175,30679.94677734375,0.3089495280407759,0.09544981087661818,"[11, 12, 25, 26]","[9, 10, 11, 12, 23, 25, 26]","[9, 10, 11, 12, 23, 25, 26]","[9, 10, 11, 12, 19, 23, 25, 26]"
blockwise_only_5000,7.47876763343811,4.015132672,483.753173828125,656.3760986328125,62.17125382262997,56.311207834602826,33.5291774546903,52.249408050513026,29.08249158249158,24.744027303754265,26.400000000000002,40.641080864097425,29.94764142372413,33.391611240804195,114.02684692951372,8.769864526887735,30677.48583984375,0.2949172682726795,0.0869761951254196,[],[],"[19, 23, 26, 27, 28, 30]","[18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
